|Hawthorne, Nathaniel| |The Scarlet Letter| 2000 |Adultery,Boston (Mass.),Clergy,Historical fiction,Illegitimate children,Married women,Psychological fiction,Puritans,Revenge,Triangles (Interpersonal relations),Women immigrants
|Taylor, Meadows| |Confessions of a Thug| 1986 |Historical fiction,India,Thugs (Indic criminal group)
|Lawson, Henry| |Joe Wilson and His Mates| 1901 |Australia,Frontier and pioneer life,Historical fiction
|Stevenson, Robert Louis| |Treasure Island| 1910 |Pirates,Sea stories,Treasure Island (Imaginary place),Treasure troves
|Carroll, Lewis| |Through the Looking-Glass| 1872 |Alice (Fictitious character from Carroll),Children's stories,Fantasy fiction,Imaginary places
|Andersen, H. C. (Hans Christian)| |Andersen's Fairy Tales| 1973 |Children's stories, Danish,Fairy tales,Fairy tales
|Lytton, Edward Bulwer Lytton, Baron| |The Coming Race| 1871 |Civilization, Subterranean,Science fiction,Underground areas,Utopian fiction,Utopias
|Thomas, à Kempis| |The Imitation of Christ| 1991 |Catholic Church,Meditations,Spiritual life
|Gogol, Nikolai Vasilevich| |Dead Souls| 2006 |Humorous stories,Russia,Satire,Swindlers and swindling
|Belloc, Hilaire| |The Modern Traveller| 1923 |English poetry,Great Britain,Humorous poetry, English
|Montgomery, L. M. (Lucy Maud)| |Rainbow Valley| 1985 |Canada,Family life,Foster home care,Friendship,Historical fiction,Orphans,Prince Edward Island,Siblings
|Burroughs, Edgar Rice| |A Princess of Mars| 1997 |Carter, John (Fictitious character),Dejah Thoris (Fictitious character),Mars (Planet),Princesses,Science fiction
|Mill, John Stuart| |Autobiography| 1874 |Mill, John Stuart, 1806-1873,Philosophers
|Tolstoy, Leo, graf| |Anna Karenina| 2006 |Adultery,Didactic fiction,Love stories,Married women,Russia
|London, Jack| |The Call of the Wild| 1996 |Adventure stories,Animal welfare,Dogs,Feral dogs,Klondike River Valley (Yukon),Nature stories,Pet theft,Sled dogs
|Cervantes Saavedra, Miguel de| |Don Quixote| 2001 |Knights and knighthood,Picaresque literature,Romances,Spain
|Nye, Bill| |Comic History of the United States| 2007 |American wit and humor,Caricatures and cartoons,United States
|Falkner, John Meade| |Moonfleet| 1983 |Adventure stories,England,Smugglers,Treasure troves
|Falkner, John Meade| |Moonfleet| 1994 |Adventure stories,England,Smugglers,Treasure troves
|Dickens, Charles| |David Copperfield| 1988 |Autobiographical fiction,Bildungsromans,Boys,Child labor,England,Orphans,Stepfathers,Young men
|Marcus Aurelius, Emperor of Rome| |Meditations| 1635 |Ethics,Life,Stoics
|Austen, Jane| |Pride and Prejudice| 1906 |Courtship,Domestic fiction,England,Love stories,Sisters,Social classes,Young women
|Dickens, Charles| |David Copperfield| 1950 |Autobiographical fiction,Bildungsromans,Boys,Child labor,England,Orphans,Stepfathers,Young men
|Eliot, George| |The Mill on the Floss| 1800 |Brothers and sisters,Conflict of generations,Domestic fiction,England,Loss (Psychology),Love stories,Psychological fiction,Vendetta,Water mills,Young women
|Dickens, Charles| |David Copperfield| 1994 |Autobiographical fiction,Bildungsromans,Boys,Child labor,England,Orphans,Stepfathers,Young men
|La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)| |The Princess of Cleves| 1679 |France,Historical fiction,Love stories,Married women,Nobility,Psychological fiction
|Smith, Adam| |An Inquiry into the Nature and Causes of the Wealth of Nations| 1914 |Economics
|Hope, Anthony| |The Prisoner of Zenda| 1894 |Adventure stories,British,Impostors and imposture
|Thomas, à Kempis| |The Imitation of Christ| 1974 |Catholic Church,Meditations,Spiritual life
|Carlyle, Thomas| |Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh| 1888 |Clothing and dress,Conduct of life,Didactic fiction,Germany,Humorous stories,Philosophers,Satire
|Gilman, Charlotte Perkins| |Herland| 2001 |Black humor,Utopian fiction,Utopias,Women
|Gogol, Nikolai Vasilevich| |Dead Souls| 2004 |Humorous stories,Russia,Satire,Swindlers and swindling
|Falkner, John Meade| |Moonfleet| 1986 |Adventure stories,England,Smugglers,Treasure troves
|Jerome, Jerome K. (Jerome Klapka)| |Three Men in a Boat (To Say Nothing of the Dog)| 1991 |Boats and boating,Dogs,Humorous stories, English,Male friendship,Thames River (England),Young men
|Webster, John| |The Duchess of Malfi| 1640 |English drama,Retribution,Siblings,Tragedies
